City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Westerland,DE,54.9079,8.3033,32.0,100,90,5.75,overcast clouds
314,Shiraz,IR,29.6036,52.5388,35.6,35,0,1.34,clear sky
315,Karratha,AU,-20.7377,116.8463,90.37,41,14,8.23,few clouds
316,Dwarka,IN,22.2394,68.9678,68.32,50,4,16.73,clear sky
317,Saint-Joseph,RE,-21.3667,55.6167,77.0,83,0,10.36,light rain
318,Luwuk,ID,-0.9516,122.7875,77.65,76,9,4.45,clear sky
319,Coihaique,CL,-45.5752,-72.0662,50.0,81,90,5.75,moderate rain
320,Srednekolymsk,RU,67.45,153.6833,-29.38,84,75,4.65,broken clouds
321,Stornoway,GB,58.2093,-6.3865,37.4,75,75,9.22,broken clouds
322,San Policarpo,PH,12.1791,125.5072,80.06,85,100,17.31,heavy intensity rain
323,San Ramon,US,37.7799,-121.978,57.99,33,1,2.37,clear sky
324,Namatanai,PG,-3.6667,152.4333,79.03,79,91,5.26,overcast clouds
325,Sobolevo,RU,54.4299,31.8996,16.99,97,99,6.62,snow
326,Bilma,NE,18.6853,12.9164,71.24,22,0,5.17,clear sky
327,Gien,FR,47.6933,2.6309,33.01,94,0,14.45,clear sky
328,Paamiut,GL,61.994,-49.6678,29.88,97,100,3.91,overcast clouds
329,Cockburn Town,TC,21.4612,-71.1419,80.6,74,75,5.75,broken clouds
330,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.22,73,67,12.64,broken clouds
331,Samarai,PG,-10.6167,150.6667,82.27,79,100,7.74,light rain
332,Kavieng,PG,-2.5744,150.7967,81.73,76,99,9.95,overcast clouds
333,East London,ZA,-33.0153,27.9116,77.25,75,16,18.21,light rain
334,Zhuanghe,CN,39.7008,122.9911,11.73,83,76,2.75,broken clouds
335,Talaya,RU,61.3833,152.75,-23.67,83,100,3.06,overcast clouds
336,Sidi Bin Nur,TN,35.5333,10.9167,66.2,52,0,3.44,clear sky
337,Grafton,US,42.207,-71.6856,37.0,55,90,10.36,overcast clouds
338,Amazar,RU,53.858,120.875,-10.3,85,98,2.33,overcast clouds
339,Muros,ES,42.7762,-9.0603,46.0,68,100,11.99,overcast clouds
340,Mokhsogollokh,RU,61.4681,128.9203,-32.91,83,100,2.93,overcast clouds
341,Rudbar,AF,30.15,62.6,36.43,60,0,0.85,clear sky
342,Aksu,CN,41.1231,80.2644,11.01,85,0,3.71,clear sky
343,Maniitsoq,GL,65.4167,-52.9,23.72,84,98,12.71,overcast clouds
344,Chocen,CZ,50.0016,16.223,30.0,94,61,1.16,broken clouds
